,BUYER_STATE,BUYER_ZIP,BUYER_COUNTY,FIPS
2500,PA,16935,TIOGA,42117
2501,OR,97641,LAKE,41037
2502,SC,29689,ANDERSON,45073
2507,IL,60444,GRUNDY,17063
2511,CO,80466,BOULDER,8013
2516,KS,67622,NORTON,20137
2517,IN,47949,FOUNTAIN,18107
2519,TX,78669,TRAVIS,48453
2521,CA,95709,EL DORADO,6017
2522,KY,40310,MERCER,21167
2524,PA,17822,MONTOUR,42093
2526,CA,93922,MONTEREY,6053
2527,TX,75770,HENDERSON,48467
2530,CA,92036,SAN DIEGO,6073
2531,WA,98376,JEFFERSON,53031
2532,CO,80544,BOULDER,8013
2537,CA,95690,SACRAMENTO,6067
2540,NY,11972,SUFFOLK,36103
2541,ID,83313,BLAINE,16013
2542,AR,71968,GARLAND,5125
2545,TX,76878,COLEMAN,48083
2546,CA,94028,SAN MATEO,6081
2549,AZ,85530,GRAHAM,4009
2550,WA,98337,KITSAP,53035
2552,IA,51530,SHELBY,19165
2553,MN,55439,HENNEPIN,27171
2556,WI,53521,GREEN,55045
2558,CA,94970,MARIN,6041
2560,MT,59018,PARK,30067
2561,VA,22974,FLUVANNA,51109
2563,OH,43356,MARION,39117
2565,CA,95465,SONOMA,6097
2566,CA,94060,SAN MATEO,6081
2569,NC,28174,UNION,37179
2570,LA,70087,SAINT CHARLES,22089
2571,PR,912,SAN JUAN,72127
2574,NV,89515,WASHOE,32031
2575,WA,98349,PIERCE,53053
2576,IL,60071,MCHENRY,17111
2577,MD,20778,ANNE ARUNDEL,24003
2580,NH,3830,CARROLL,33003
2581,ME,4259,KENNEBEC,23011
2584,FL,33916,LEE,12071
2585,FL,34731,LAKE,12095
2591,OR,97048,COLUMBIA,41009
2593,NY,12072,MONTGOMERY,36057
2597,MO,63627,SAINTE GENEVIEVE,29186
2598,CA,92587,RIVERSIDE,6065
2601,VA,22043,FAIRFAX,51059
2606,WA,99009,SPOKANE,53063
2609,MN,55905,OLMSTED,27109
2611,GA,39870,BAKER,13007
2612,WI,54896,SAWYER,55113
2614,KY,40068,HENRY,21223
2617,ND,58053,RICHLAND,38081
2619,PA,17508,LANCASTER,42071
2621,AZ,86327,YAVAPAI,4025
2622,PA,15687,WESTMORELAND,42129
2623,ME,4079,CUMBERLAND,23005
2627,NY,13618,JEFFERSON,36045
2629,IN,47885,VIGO,18167
2630,CA,93234,FRESNO,6019
2636,IA,52563,KEOKUK,19183
2639,WV,25978,SUMMERS,54089
2640,NY,14303,NIAGARA,36063
2642,VT,5356,WINDHAM,50025
2644,NJ,7838,WARREN,34041
2646,IL,62513,MACON,17115
2647,CO,80644,WELD,8123
2648,LA,71422,WINN,22127
2649,CA,90742,ORANGE,6059
2651,NY,12849,WASHINGTON,36115
2652,TX,75167,ELLIS,48139
2654,NJ,8720,MONMOUTH,34025
2656,PA,16053,BUTLER,42019
2659,RI,2831,PROVIDENCE,44007
2660,NY,11794,SUFFOLK,36103
2661,NE,68372,LANCASTER,31109
2663,NY,12871,SARATOGA,36091
2666,WI,54850,ASHLAND,55003
2668,WI,54488,MARATHON,55119
2671,UT,84004,UTAH,49049
2673,RI,2824,PROVIDENCE,44007
2674,CA,95258,SAN JOAQUIN,6077
2675,NM,87059,BERNALILLO,35001
2677,MI,48401,SANILAC,26151
2679,WV,26378,LEWIS,54041
2680,CA,93009,VENTURA,6111
2681,AL,35135,SAINT CLAIR,1115
2683,PA,16345,WARREN,42123
2684,OH,45401,MONTGOMERY,39135
2687,IN,46161,SHELBY,18145
2688,IN,47246,BARTHOLOMEW,18005
2691,CA,93619,FRESNO,6019
2697,PA,19375,CHESTER,42029
2701,TX,75262,DALLAS,48113
2707,MD,20841,MONTGOMERY,24031
2709,VA,24558,HALIFAX,51083
2711,CA,93409,SAN LUIS OBISPO,6079
2712,TX,78612,BASTROP,48453
2717,PA,17003,LEBANON,42075
2718,MI,49696,GRAND TRAVERSE,26055
2722,NY,11732,NASSAU,36059
2725,NY,12977,ESSEX,36031
2728,AL,36302,HOUSTON,1069
2729,HI,96763,MAUI,15009
2730,KY,42776,HARDIN,21123
2733,GA,31598,WAYNE,13305
2734,IA,52255,CEDAR,19103
2737,CA,94720,ALAMEDA,6001
2740,IL,62207,SAINT CLAIR,17163
2742,CO,80118,DOUGLAS,8119
2746,CA,96056,SHASTA,6089
2748,MD,21794,HOWARD,24027
2750,GA,31017,TWIGGS,13319
2751,TX,78663,BLANCO,48453
2754,MI,49112,CASS,26027
2756,ME,4001,YORK,23031
2757,PA,15333,WASHINGTON,42125
2758,SD,57626,MEADE,46105
2761,VA,20187,FAUQUIER,51061
2762,TX,78255,BEXAR,48029
2765,VA,23284,RICHMOND CITY,51760
2766,GA,31095,HOUSTON,13153
2768,CA,94552,ALAMEDA,6001
2771,UT,84739,SEVIER,49041
2772,WY,82636,NATRONA,56025
2773,LA,71221,MOREHOUSE,22067
2774,NC,27602,WAKE,37183
2775,TX,76524,MCLENNAN,48309
2776,VA,23298,RICHMOND CITY,51760
2777,WI,54849,DOUGLAS,55031
2778,MD,21152,BALTIMORE,24005
2782,PA,17254,FRANKLIN,42055
2784,CA,93529,MONO,6051
2785,CA,94592,SOLANO,6095
2787,MD,21161,HARFORD,24025
2788,NY,12789,SULLIVAN,36105
2790,WV,26050,HANCOCK,54029
2791,CO,81131,SAGUACHE,8109
2792,NY,14054,GENESEE,36073
2796,WV,26753,MINERAL,54057
2797,AK,99692,ALEUTIANS WEST,2016
2798,KY,40292,JEFFERSON,21215
2802,PA,19373,DELAWARE,42045
2804,WA,98363,CLALLAM,53009
2806,PA,18627,LUZERNE,42079
2809,LA,71115,CADDO,22017
2811,AK,99619,KODIAK ISLAND,2150
2812,WV,26038,MARSHALL,54051
2815,PA,15142,ALLEGHENY,42003
2820,MO,65211,BOONE,29019
2823,VA,23504,NORFOLK CITY,51710
2825,NJ,8833,HUNTERDON,34019
2830,MT,59468,TETON,30099
2831,MO,64048,CLAY,29095
2836,PA,18810,BRADFORD,42015
2839,SC,29422,CHARLESTON,45019
2841,WI,53052,WAUKESHA,55133
2842,TN,38449,GILES,47103
2843,WA,98862,OKANOGAN,53047
2844,OK,73150,OKLAHOMA,40109
2846,WI,54738,TREMPEALEAU,55121
2847,WY,82732,CAMPBELL,56005
2848,IL,61863,CHAMPAIGN,17019
2851,MI,49610,GRAND TRAVERSE,26055
2855,VA,22936,ALBEMARLE,51079
2859,PA,17529,LANCASTER,42071
2861,VA,23838,CHESTERFIELD,51041
2864,MT,59845,SANDERS,30089
2865,IL,60480,COOK,17031
2871,NY,11568,NASSAU,36059
2874,MD,21918,CECIL,24015
2875,MO,65079,CAMDEN,29141
2879,IN,46056,MADISON,18095
2881,CO,80962,EL PASO,8041
2884,TX,79968,EL PASO,48141
2886,AL,35021,JEFFERSON,1073
2891,CA,90073,LOS ANGELES,6037
2895,MD,20842,MONTGOMERY,24031
2897,NY,11975,SUFFOLK,36103
2898,PA,17202,FRANKLIN,42055
2900,NY,11959,SUFFOLK,36103
2901,TX,78659,BASTROP,48453
2906,WA,98068,KITTITAS,53037
2907,CA,95319,STANISLAUS,6099
2908,NE,68702,MADISON,31119
2912,OK,73040,BLAINE,40017
2914,CA,93924,MONTEREY,6053
2915,IN,46987,GRANT,18053
2918,KS,66609,SHAWNEE,20177
2920,IN,46802,ALLEN,18003
2924,PA,15208,ALLEGHENY,42003
2929,WA,98542,LEWIS,53041
2931,CT,6063,LITCHFIELD,9005
2933,AR,72718,BENTON,5007
2936,MN,56044,SIBLEY,27143
2937,TN,37357,WARREN,47177
2938,MO,64126,JACKSON,29095
2941,WV,26208,WEBSTER,54101
2942,MT,59741,GALLATIN,30057
2946,NJ,7023,UNION,34039
2947,NM,87828,SOCORRO,35053
2948,AL,35298,JEFFERSON,1073
2953,AL,35632,LAUDERDALE,1077
2955,WV,25854,FAYETTE,54089
2959,CA,90018,LOS ANGELES,6037
2963,FL,32079,CLAY,12019
2966,WA,98365,JEFFERSON,53031
2967,LA,71210,OUACHITA,22073
2969,OH,44659,WAYNE,39169
2970,TX,78015,KENDALL,48259
2972,PA,16617,BLAIR,42013
2976,PA,19540,BERKS,42011
2981,WI,54305,BROWN,55009
2985,NJ,7863,WARREN,34041
2987,CO,81252,CUSTER,8043
2988,SC,29920,BEAUFORT,45013
2990,NV,89045,NYE,32023
2991,PA,17534,LANCASTER,42071
2993,ID,83303,TWIN FALLS,16083
2994,PA,15558,SOMERSET,42111
